There was a statistically @SIGNIFICANCE$ relationship between plasma CoQ10 levels and levels of vascular cell adhesion molecule (VCAM) ( r 2 = 0.2; P = 0.008), TNF-α ( r 2 = 0.28; P = 0.004), IL-8 ( r 2 = 0.21; P = 0.015), @OUTCOME$ ( r 2 = 0.18; P = 0.025), E-selectin ( r 2 = 0.17; P = -0.03), IL-1ra ( r 2 = 0.21; P = 0.014), IL-6 ( r 2 = 0.17; P = 0.029) and IL-2 ( r 2 = 0.23; P = 0.009).	0
There was @SIGNIFICANCE$ difference in @OUTCOME$ between the placebo (13/80 or 16.3%) and mannitol (10/76 or 13.2%) groups: RR = 1.2 (CI 0.5–2.7).	1
@OUTCOME$ was 7% in the SC group vs 12% in the WC group (@SIGNIFICANCE$).	1
At 12-month follow-up, the intervention group showed a significant positive change (OR = 0.48) in @OUTCOME$, as well as a @SIGNIFICANCE$ positive change regarding risk indicators for work posture and movement, compared to the usual care group.	0
Between group comparison demonstrated citrate anticoagulation to significantly increase @OUTCOME$ (Fisher's exact test, @SIGNIFICANCE$).	1
Results After 40 sessions, mean physician CGI scores @SIGNIFICANCE$ improved in the treatment group compared to controls in @OUTCOME$ (p = 0.0008), receptive language (p < 0.0001), social interaction (p = 0.0473), and eye contact (p = 0.0102); 9/30 children (30%) in the treatment group were rated as "very much improved" or "much improved" compared to 2/26 (8%) of controls (p = 0.0471); 24/30 (80%) in the treatment group improved compared to 10/26 (38%) of controls (p = 0.0024).	1
Results In study A, a single inhalation of SFC and FBC produced @OUTCOME$ at 16 hours with an adjusted mean increase in FEV 1 from pre-dose of 0.22 L (95% CI 0.19, 0.35 L) for SFC and 0.25 L (95% CI 0.21, 0.37 L) for FBC, which was significantly greater than placebo for both treatments (-0.05 L; @SIGNIFICANCE$).	0
Results The essential oil mouthwash with ethanol shows a better inhibitory effect of plaque regrowth in 3-days than the mouthwash test with only essential oil in the whole mouth (@OUTCOME$ = 2.18 against 2.46, respectively, p < 0.05); for the lower jaw (plaque index = 2.28 against 2.57, respectively, p < 0.05); for the upper jaw (plaque index = 2.08 against 2.35, respectively, p < 0.05); for the incisors (plaque index = 1.93 against 2.27, respectively, @SIGNIFICANCE$); and the canines (plaque index = 1.99 against 2.47, respectively, p < 0.05).	0
Results Glycated hemoglobin A1c and systolic blood pressure (SBP) levels decreased @SIGNIFICANCE$ in the PRECEDE group (multivariate analysis of covariance, with baseline glycated hemoglobin A1c, SBP, and @OUTCOME$ showing statistically significant differences between groups at baseline visits).	0
There was significant @OUTCOME$ in all 3 intervention groups (GWL, 1.86 kg, @SIGNIFICANCE$; SWA-alone, 3.55 kg, P = 0.0002; GWL+SWA, 6.59 kg, P < 0.0001) but not in the Standard Care group (0.89 kg, P = 0.39) at month 9.	1
Results There was no difference between succinylcholine and rocuronium regarding oxygen desaturations (succinylcholine 73/196; rocuronium 66/195; P = 0.67); @OUTCOME$ (succinylcholine 20/196; rocuronium 20/195; P = 1.0); and extent of oxygen desaturations (succinylcholine -14 ± 12%; rocuronium -16 ± 13%; @SIGNIFICANCE$).	0
There was a small fall in HbA1c in the yoga group which was @SIGNIFICANCE$ and which was not sustained six months later, and no significant change in @OUTCOME$.	0
The notable exception was for objectively assessed troop PA, wherein girls in intervention troops accumulated significantly less @OUTCOME$ (x 2 = 6.3, @SIGNIFICANCE$), significantly more moderate (x 2 = 8.2, p = .004), and more moderate-to-vigorous physical activity, (x 2 = 18.4, p < .001), than girls in control troops.	1
